{'store_id': '3863', 'e_id': '2133', 'review_score': '6', 'sales_id': '5790694'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '9', 'sales_id': '2549545'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '4', 'sales_id': '3792471'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '8', 'sales_id': '5796967'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '5', 'sales_id': '7244087'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '7', 'sales_id': '6203650'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '0', 'sales_id': '7596418'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '2', 'sales_id': '332087'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '0', 'sales_id': '791987'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '4', 'sales_id': '9955290'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '6', 'sales_id': '8133173'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '1', 'sales_id': '1891023'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '6', 'sales_id': '590974'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '0', 'sales_id': '651495'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '5', 'sales_id': '5685233'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '3', 'sales_id': '1237825'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '9', 'sales_id': '6642588'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '3', 'sales_id': '1722288'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '8', 'sales_id': '1482041'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '9', 'sales_id': '2564766'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '10', 'sales_id': '2683764'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '0', 'sales_id': '6184853'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '2', 'sales_id': '9889239'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '4', 'sales_id': '9287619'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '6', 'sales_id': '4028848'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '0', 'sales_id': '3247177'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '8', 'sales_id': '1579355'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '10', 'sales_id': '4746685'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '8', 'sales_id': '124123'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '1', 'sales_id': '1123607'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '0', 'sales_id': '4092019'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '8', 'sales_id': '8377491'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '7', 'sales_id': '2838373'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '6', 'sales_id': '3576298'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '2', 'sales_id': '3959001'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '10', 'sales_id': '762771'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '10', 'sales_id': '9458447'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '5', 'sales_id': '4776762'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '9', 'sales_id': '1320947'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '5', 'sales_id': '3287548'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '9', 'sales_id': '967705'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '7', 'sales_id': '7684801'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '1', 'sales_id': '1967923'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '7', 'sales_id': '5743356'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '1', 'sales_id': '3972464'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '0', 'sales_id': '3153246'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '5', 'sales_id': '5237992'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '9', 'sales_id': '6899225'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '8', 'sales_id': '8422153'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '6', 'sales_id': '8626023'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '8', 'sales_id': '8267375'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '9', 'sales_id': '4554354'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '10', 'sales_id': '4685836'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '10', 'sales_id': '4585720'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '4', 'sales_id': '9895451'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '2', 'sales_id': '4023368'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '2', 'sales_id': '7491784'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '9', 'sales_id': '7069036'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '2', 'sales_id': '7261925'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '6', 'sales_id': '3299588'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '2', 'sales_id': '7713978'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '7', 'sales_id': '8074367'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '2', 'sales_id': '8883352'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '5', 'sales_id': '5745075'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '0', 'sales_id': '3082110'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '10', 'sales_id': '4374767'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '5', 'sales_id': '5067321'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '7', 'sales_id': '1431125'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '1', 'sales_id': '9400262'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '0', 'sales_id': '9593490'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '3', 'sales_id': '4844353'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '7', 'sales_id': '2841129'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '5', 'sales_id': '5462167'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '6', 'sales_id': '3195017'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '10', 'sales_id': '7932694'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '3', 'sales_id': '2426634'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '1', 'sales_id': '8278404'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '6', 'sales_id': '9685112'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '0', 'sales_id': '8072139'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '2', 'sales_id': '7962414'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '9', 'sales_id': '4273463'}
{'store_id': '1467', 'e_id': '8938', 'review_score': '10', 'sales_id': '7632309'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '6', 'sales_id': '246274'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '4', 'sales_id': '6339060'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '2', 'sales_id': '1178926'}
{'store_id': '3863', 'e_id': '3679', 'review_score': '9', 'sales_id': '7508100'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '5', 'sales_id': '9474233'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '4', 'sales_id': '970675'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '3', 'sales_id': '6697150'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '4', 'sales_id': '2122506'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '5', 'sales_id': '1933083'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '5', 'sales_id': '8681805'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '5', 'sales_id': '3168893'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '10', 'sales_id': '8886358'}
{'store_id': '3863', 'e_id': '2133', 'review_score': '3', 'sales_id': '570062'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '6', 'sales_id': '3236983'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '5', 'sales_id': '7634189'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '6', 'sales_id': '7756500'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '6', 'sales_id': '6222614'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '7', 'sales_id': '3877306'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '2', 'sales_id': '1154549'}
{'store_id': '1467', 'e_id': '6510', 'review_score': '6', 'sales_id': '6573031'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '8', 'sales_id': '5601756'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '2', 'sales_id': '3067979'}
{'store_id': '3863', 'e_id': '7292', 'review_score': '1', 'sales_id': '9586359'}
{'store_id': '1467', 'e_id': '2061', 'review_score': '4', 'sales_id': '3404383'}
