{'store_id': 2733, 'e_id': 8824, 'review_score': 1, 'sales_id': 3902522}
{'store_id': 2733, 'e_id': 1102, 'review_score': 4, 'sales_id': 1753712}
{'store_id': 2733, 'e_id': 3854, 'review_score': 8, 'sales_id': 7442935}
{'store_id': 2733, 'e_id': 1102, 'review_score': 5, 'sales_id': 5101675}
{'store_id': 2027, 'e_id': 5756, 'review_score': 0, 'sales_id': 3976973}
{'store_id': 2733, 'e_id': 3854, 'review_score': 10, 'sales_id': 8576662}
{'store_id': 2027, 'e_id': 5756, 'review_score': 4, 'sales_id': 8091366}
{'store_id': 2733, 'e_id': 8824, 'review_score': 4, 'sales_id': 8551117}
{'store_id': 2027, 'e_id': 1855, 'review_score': 8, 'sales_id': 1615516}
{'store_id': 2027, 'e_id': 4190, 'review_score': 1, 'sales_id': 9269181}
{'store_id': 2027, 'e_id': 5756, 'review_score': 5, 'sales_id': 8877384}
{'store_id': 2733, 'e_id': 1102, 'review_score': 1, 'sales_id': 9490927}
{'store_id': 2733, 'e_id': 3854, 'review_score': 3, 'sales_id': 7833855}
{'store_id': 2733, 'e_id': 8824, 'review_score': 8, 'sales_id': 1013791}
{'store_id': 2027, 'e_id': 1855, 'review_score': 3, 'sales_id': 3139693}
{'store_id': 2733, 'e_id': 8824, 'review_score': 0, 'sales_id': 8353891}
{'store_id': 2027, 'e_id': 5756, 'review_score': 2, 'sales_id': 3813919}
{'store_id': 2027, 'e_id': 5756, 'review_score': 4, 'sales_id': 5890585}
{'store_id': 2733, 'e_id': 1102, 'review_score': 1, 'sales_id': 5609316}
{'store_id': 2733, 'e_id': 3854, 'review_score': 10, 'sales_id': 4174268}
{'store_id': 2733, 'e_id': 3854, 'review_score': 6, 'sales_id': 5654718}
{'store_id': 2733, 'e_id': 3854, 'review_score': 1, 'sales_id': 2523626}
{'store_id': 2733, 'e_id': 1102, 'review_score': 6, 'sales_id': 4517883}
{'store_id': 2733, 'e_id': 3854, 'review_score': 7, 'sales_id': 7373872}
{'store_id': 2027, 'e_id': 4190, 'review_score': 5, 'sales_id': 4870445}
{'store_id': 2733, 'e_id': 3854, 'review_score': 1, 'sales_id': 7356147}
{'store_id': 2733, 'e_id': 3854, 'review_score': 9, 'sales_id': 2904772}
{'store_id': 2027, 'e_id': 4190, 'review_score': 6, 'sales_id': 6621574}
{'store_id': 2027, 'e_id': 4190, 'review_score': 9, 'sales_id': 407173}
{'store_id': 2733, 'e_id': 3854, 'review_score': 5, 'sales_id': 9798560}
{'store_id': 2733, 'e_id': 3854, 'review_score': 9, 'sales_id': 4562244}
{'store_id': 2733, 'e_id': 8824, 'review_score': 4, 'sales_id': 2164776}
{'store_id': 2027, 'e_id': 1855, 'review_score': 1, 'sales_id': 9773958}
{'store_id': 2027, 'e_id': 1855, 'review_score': 10, 'sales_id': 5655870}
{'store_id': 2733, 'e_id': 3854, 'review_score': 7, 'sales_id': 2289685}
{'store_id': 2027, 'e_id': 4190, 'review_score': 8, 'sales_id': 4492210}
{'store_id': 2733, 'e_id': 8824, 'review_score': 1, 'sales_id': 2406383}
{'store_id': 2027, 'e_id': 5756, 'review_score': 5, 'sales_id': 8989675}
{'store_id': 2027, 'e_id': 4190, 'review_score': 6, 'sales_id': 7734713}
{'store_id': 2027, 'e_id': 5756, 'review_score': 8, 'sales_id': 4949108}
{'store_id': 2733, 'e_id': 8824, 'review_score': 6, 'sales_id': 8711947}
{'store_id': 2733, 'e_id': 8824, 'review_score': 0, 'sales_id': 4255463}
{'store_id': 2027, 'e_id': 4190, 'review_score': 1, 'sales_id': 9247497}
{'store_id': 2733, 'e_id': 1102, 'review_score': 8, 'sales_id': 104426}
{'store_id': 2733, 'e_id': 1102, 'review_score': 1, 'sales_id': 4351947}
{'store_id': 2733, 'e_id': 3854, 'review_score': 0, 'sales_id': 2955614}
{'store_id': 2733, 'e_id': 8824, 'review_score': 8, 'sales_id': 414758}
{'store_id': 2733, 'e_id': 8824, 'review_score': 8, 'sales_id': 9137817}
{'store_id': 2733, 'e_id': 8824, 'review_score': 1, 'sales_id': 650622}
{'store_id': 2027, 'e_id': 1855, 'review_score': 2, 'sales_id': 7025058}
{'store_id': 2027, 'e_id': 1855, 'review_score': 9, 'sales_id': 9939221}
{'store_id': 2027, 'e_id': 1855, 'review_score': 7, 'sales_id': 2456198}
{'store_id': 2027, 'e_id': 1855, 'review_score': 4, 'sales_id': 1433763}
{'store_id': 2733, 'e_id': 3854, 'review_score': 9, 'sales_id': 7599677}
{'store_id': 2733, 'e_id': 3854, 'review_score': 9, 'sales_id': 3808198}
{'store_id': 2733, 'e_id': 1102, 'review_score': 10, 'sales_id': 1451350}
{'store_id': 2733, 'e_id': 1102, 'review_score': 5, 'sales_id': 4025318}
{'store_id': 2027, 'e_id': 5756, 'review_score': 2, 'sales_id': 9827933}
{'store_id': 2027, 'e_id': 5756, 'review_score': 4, 'sales_id': 2838530}
{'store_id': 2027, 'e_id': 1855, 'review_score': 0, 'sales_id': 154571}
{'store_id': 2733, 'e_id': 8824, 'review_score': 5, 'sales_id': 7262827}
{'store_id': 2027, 'e_id': 1855, 'review_score': 2, 'sales_id': 4845217}
{'store_id': 2027, 'e_id': 1855, 'review_score': 7, 'sales_id': 2582858}
{'store_id': 2733, 'e_id': 1102, 'review_score': 10, 'sales_id': 2258204}
{'store_id': 2733, 'e_id': 1102, 'review_score': 10, 'sales_id': 7384605}
{'store_id': 2027, 'e_id': 4190, 'review_score': 6, 'sales_id': 172767}
{'store_id': 2027, 'e_id': 5756, 'review_score': 1, 'sales_id': 6798476}
{'store_id': 2733, 'e_id': 3854, 'review_score': 2, 'sales_id': 8264718}
{'store_id': 2733, 'e_id': 1102, 'review_score': 8, 'sales_id': 294217}
{'store_id': 2733, 'e_id': 3854, 'review_score': 9, 'sales_id': 5621138}
{'store_id': 2027, 'e_id': 5756, 'review_score': 0, 'sales_id': 962663}
{'store_id': 2027, 'e_id': 4190, 'review_score': 5, 'sales_id': 8368230}
{'store_id': 2027, 'e_id': 1855, 'review_score': 6, 'sales_id': 1223958}
{'store_id': 2027, 'e_id': 5756, 'review_score': 7, 'sales_id': 5381041}
{'store_id': 2027, 'e_id': 4190, 'review_score': 5, 'sales_id': 4238255}
{'store_id': 2733, 'e_id': 1102, 'review_score': 5, 'sales_id': 4583833}
{'store_id': 2733, 'e_id': 8824, 'review_score': 9, 'sales_id': 8715228}
{'store_id': 2733, 'e_id': 8824, 'review_score': 10, 'sales_id': 309961}
{'store_id': 2027, 'e_id': 5756, 'review_score': 0, 'sales_id': 7900709}
{'store_id': 2027, 'e_id': 5756, 'review_score': 10, 'sales_id': 3669423}
{'store_id': 2733, 'e_id': 3854, 'review_score': 6, 'sales_id': 1436821}
{'store_id': 2733, 'e_id': 1102, 'review_score': 2, 'sales_id': 7557601}
{'store_id': 2733, 'e_id': 8824, 'review_score': 10, 'sales_id': 5909362}
{'store_id': 2027, 'e_id': 1855, 'review_score': 2, 'sales_id': 5320922}
{'store_id': 2733, 'e_id': 8824, 'review_score': 4, 'sales_id': 3814987}
{'store_id': 2027, 'e_id': 1855, 'review_score': 10, 'sales_id': 1311035}
{'store_id': 2027, 'e_id': 4190, 'review_score': 7, 'sales_id': 8670082}
{'store_id': 2733, 'e_id': 1102, 'review_score': 8, 'sales_id': 3614819}
{'store_id': 2733, 'e_id': 1102, 'review_score': 3, 'sales_id': 716134}
{'store_id': 2027, 'e_id': 4190, 'review_score': 8, 'sales_id': 3253865}
{'store_id': 2027, 'e_id': 4190, 'review_score': 9, 'sales_id': 2182782}
{'store_id': 2027, 'e_id': 4190, 'review_score': 0, 'sales_id': 6579139}
{'store_id': 2733, 'e_id': 8824, 'review_score': 8, 'sales_id': 9057850}
{'store_id': 2733, 'e_id': 8824, 'review_score': 9, 'sales_id': 1100776}
{'store_id': 2733, 'e_id': 8824, 'review_score': 0, 'sales_id': 2316020}
{'store_id': 2027, 'e_id': 4190, 'review_score': 3, 'sales_id': 1175950}
{'store_id': 2027, 'e_id': 4190, 'review_score': 4, 'sales_id': 2761674}
{'store_id': 2733, 'e_id': 8824, 'review_score': 0, 'sales_id': 1609071}
{'store_id': 2027, 'e_id': 4190, 'review_score': 6, 'sales_id': 2366023}
{'store_id': 2733, 'e_id': 1102, 'review_score': 3, 'sales_id': 2562105}
{'store_id': 2027, 'e_id': 4190, 'review_score': 10, 'sales_id': 4845817}
{'store_id': 2733, 'e_id': 8824, 'review_score': 3, 'sales_id': 6253717}
{'store_id': 2733, 'e_id': 1102, 'review_score': 4, 'sales_id': 3090855}
{'store_id': 2027, 'e_id': 4190, 'review_score': 1, 'sales_id': 8472827}
{'store_id': 2027, 'e_id': 5756, 'review_score': 3, 'sales_id': 9317586}
{'store_id': 2027, 'e_id': 1855, 'review_score': 7, 'sales_id': 4865828}
{'store_id': 2733, 'e_id': 1102, 'review_score': 3, 'sales_id': 5808448}
