('5155', '8081', '7', '9780680')
('5155', '8081', '4', '8873290')
('4835', '986', '3', '7026842')
('4835', '4479', '9', '3448943')
('4835', '4479', '10', '9725773')
('5155', '8081', '9', '9124234')
('4835', '642', '10', '1732253')
('5155', '1645', '3', '123214')
('5155', '1645', '6', '1006645')
('5155', '8081', '9', '5740470')
('4835', '642', '5', '1349914')
('5155', '8048', '5', '1730105')
('5155', '8048', '2', '8004941')
('4835', '986', '3', '2238753')
('4835', '986', '6', '8048059')
('5155', '8081', '4', '1240368')
('5155', '1645', '8', '3885524')
('4835', '4479', '3', '1479020')
('5155', '8081', '2', '1235229')
('5155', '8048', '3', '5943065')
('4835', '642', '9', '6951401')
('4835', '4479', '10', '2162443')
('4835', '4479', '3', '1048585')
('4835', '4479', '3', '3223858')
('4835', '4479', '6', '772831')
('5155', '8081', '5', '4898997')
('4835', '4479', '3', '7035113')
('4835', '642', '3', '4833115')
('4835', '642', '6', '9219393')
('5155', '8081', '6', '6292827')
('4835', '986', '7', '6993309')
('5155', '1645', '9', '9907510')
('4835', '642', '5', '5866476')
('4835', '986', '9', '6705917')
('5155', '1645', '2', '6114202')
('5155', '1645', '1', '5356193')
('4835', '642', '2', '8997184')
('4835', '642', '1', '9298751')
('4835', '986', '1', '8321739')
('5155', '8048', '5', '6584782')
('5155', '1645', '6', '9676354')
('5155', '8081', '4', '1866914')
('5155', '8081', '3', '2515683')
('5155', '8081', '6', '910587')
('4835', '4479', '9', '3818306')
('4835', '986', '9', '1752868')
('4835', '986', '2', '435315')
('5155', '8048', '8', '438666')
('5155', '8081', '3', '7845203')
('4835', '642', '10', '9436502')
('4835', '986', '2', '8061030')
('5155', '8081', '3', '3100261')
('4835', '642', '4', '7124982')
('4835', '4479', '8', '2122010')
('4835', '642', '9', '5186182')
('4835', '986', '8', '486808')
('4835', '642', '3', '8145773')
('4835', '642', '9', '8292734')
('5155', '1645', '3', '9170067')
('5155', '1645', '5', '4184999')
('4835', '642', '3', '5252379')
('5155', '8048', '8', '8117594')
('5155', '8081', '2', '6732946')
('5155', '8081', '8', '8093900')
('4835', '986', '2', '1827291')
('4835', '642', '10', '1882359')
('5155', '1645', '3', '8402910')
('5155', '8081', '6', '1378504')
('4835', '642', '7', '3122592')
('5155', '1645', '8', '5016006')
('4835', '4479', '1', '2051949')
('4835', '986', '7', '8398341')
('4835', '642', '3', '4670784')
('5155', '8048', '2', '7866441')
('4835', '4479', '9', '1162699')
('5155', '1645', '4', '582015')
('5155', '1645', '8', '8686615')
('5155', '8081', '1', '4925197')
('4835', '986', '4', '5147423')
('5155', '1645', '2', '8835694')
('5155', '8081', '7', '2944589')
('4835', '4479', '10', '1682739')
('4835', '642', '9', '5276019')
('5155', '1645', '7', '7817860')
('5155', '1645', '6', '6398894')
('4835', '642', '7', '4184407')
('5155', '8048', '6', '7361224')
('5155', '1645', '5', '1746396')
('5155', '1645', '5', '1971557')
('5155', '1645', '9', '7693758')
('5155', '8081', '4', '6664271')
('4835', '4479', '1', '8404322')
('5155', '8081', '8', '7171376')
('4835', '986', '8', '3960149')
('4835', '642', '3', '4716170')
('5155', '8048', '3', '5546328')
('5155', '1645', '3', '8939525')
('4835', '986', '5', '6162119')
('5155', '1645', '3', '5628551')
('5155', '8081', '10', '4354770')
('5155', '8081', '10', '3299963')
('5155', '8048', '8', '7595171')
('4835', '642', '9', '2514553')
