{'store_id': 3484, 'e_id': 7786, 'review_score': 7, 'sales_id': 6044318}
{'store_id': 3484, 'e_id': 7786, 'review_score': 6, 'sales_id': 3260459}
{'store_id': 2366, 'e_id': 2668, 'review_score': 3, 'sales_id': 508400}
{'store_id': 2366, 'e_id': 4208, 'review_score': 6, 'sales_id': 3798423}
{'store_id': 3484, 'e_id': 5199, 'review_score': 8, 'sales_id': 9645105}
{'store_id': 2366, 'e_id': 4208, 'review_score': 2, 'sales_id': 9594242}
{'store_id': 3484, 'e_id': 7786, 'review_score': 8, 'sales_id': 8411108}
{'store_id': 3484, 'e_id': 8, 'review_score': 6, 'sales_id': 2525832}
{'store_id': 3484, 'e_id': 7786, 'review_score': 3, 'sales_id': 6331564}
{'store_id': 3484, 'e_id': 8, 'review_score': 0, 'sales_id': 2641057}
{'store_id': 2366, 'e_id': 2668, 'review_score': 8, 'sales_id': 5078189}
{'store_id': 3484, 'e_id': 8, 'review_score': 1, 'sales_id': 8691885}
{'store_id': 3484, 'e_id': 8, 'review_score': 2, 'sales_id': 4163879}
{'store_id': 2366, 'e_id': 3299, 'review_score': 1, 'sales_id': 9986324}
{'store_id': 3484, 'e_id': 8, 'review_score': 8, 'sales_id': 2447097}
{'store_id': 2366, 'e_id': 4208, 'review_score': 3, 'sales_id': 3727561}
{'store_id': 2366, 'e_id': 2668, 'review_score': 3, 'sales_id': 4238618}
{'store_id': 2366, 'e_id': 3299, 'review_score': 3, 'sales_id': 6224601}
{'store_id': 3484, 'e_id': 7786, 'review_score': 4, 'sales_id': 1003261}
{'store_id': 3484, 'e_id': 7786, 'review_score': 2, 'sales_id': 2515841}
{'store_id': 3484, 'e_id': 5199, 'review_score': 5, 'sales_id': 4066259}
{'store_id': 3484, 'e_id': 5199, 'review_score': 1, 'sales_id': 6425507}
{'store_id': 2366, 'e_id': 3299, 'review_score': 2, 'sales_id': 3540712}
{'store_id': 3484, 'e_id': 7786, 'review_score': 7, 'sales_id': 3816543}
{'store_id': 3484, 'e_id': 8, 'review_score': 2, 'sales_id': 7079470}
{'store_id': 2366, 'e_id': 3299, 'review_score': 5, 'sales_id': 833950}
{'store_id': 3484, 'e_id': 7786, 'review_score': 3, 'sales_id': 4765048}
{'store_id': 2366, 'e_id': 2668, 'review_score': 8, 'sales_id': 393154}
{'store_id': 2366, 'e_id': 3299, 'review_score': 5, 'sales_id': 8985528}
{'store_id': 2366, 'e_id': 4208, 'review_score': 3, 'sales_id': 869318}
{'store_id': 3484, 'e_id': 5199, 'review_score': 8, 'sales_id': 9502885}
{'store_id': 3484, 'e_id': 7786, 'review_score': 10, 'sales_id': 6687589}
{'store_id': 3484, 'e_id': 8, 'review_score': 4, 'sales_id': 416893}
{'store_id': 3484, 'e_id': 7786, 'review_score': 7, 'sales_id': 7289471}
{'store_id': 3484, 'e_id': 7786, 'review_score': 5, 'sales_id': 468998}
{'store_id': 2366, 'e_id': 3299, 'review_score': 10, 'sales_id': 680967}
{'store_id': 2366, 'e_id': 4208, 'review_score': 10, 'sales_id': 9398183}
{'store_id': 2366, 'e_id': 4208, 'review_score': 6, 'sales_id': 2387558}
{'store_id': 2366, 'e_id': 4208, 'review_score': 0, 'sales_id': 5775149}
{'store_id': 3484, 'e_id': 8, 'review_score': 4, 'sales_id': 5836728}
{'store_id': 2366, 'e_id': 2668, 'review_score': 2, 'sales_id': 7280738}
{'store_id': 3484, 'e_id': 7786, 'review_score': 8, 'sales_id': 381483}
{'store_id': 2366, 'e_id': 2668, 'review_score': 9, 'sales_id': 4789370}
{'store_id': 2366, 'e_id': 2668, 'review_score': 2, 'sales_id': 9401267}
{'store_id': 3484, 'e_id': 8, 'review_score': 8, 'sales_id': 3484633}
{'store_id': 2366, 'e_id': 2668, 'review_score': 3, 'sales_id': 5941099}
{'store_id': 2366, 'e_id': 2668, 'review_score': 4, 'sales_id': 5678025}
{'store_id': 3484, 'e_id': 7786, 'review_score': 3, 'sales_id': 7841941}
{'store_id': 3484, 'e_id': 7786, 'review_score': 3, 'sales_id': 2469397}
{'store_id': 2366, 'e_id': 3299, 'review_score': 4, 'sales_id': 183595}
{'store_id': 3484, 'e_id': 7786, 'review_score': 4, 'sales_id': 2151388}
{'store_id': 3484, 'e_id': 8, 'review_score': 6, 'sales_id': 1826597}
{'store_id': 3484, 'e_id': 8, 'review_score': 1, 'sales_id': 8466759}
{'store_id': 3484, 'e_id': 7786, 'review_score': 1, 'sales_id': 2914557}
{'store_id': 3484, 'e_id': 7786, 'review_score': 1, 'sales_id': 8832978}
{'store_id': 2366, 'e_id': 2668, 'review_score': 6, 'sales_id': 9887781}
{'store_id': 2366, 'e_id': 2668, 'review_score': 1, 'sales_id': 9993695}
{'store_id': 2366, 'e_id': 4208, 'review_score': 2, 'sales_id': 2130379}
{'store_id': 2366, 'e_id': 2668, 'review_score': 2, 'sales_id': 4816000}
{'store_id': 3484, 'e_id': 8, 'review_score': 9, 'sales_id': 4657641}
{'store_id': 3484, 'e_id': 7786, 'review_score': 0, 'sales_id': 9095322}
{'store_id': 2366, 'e_id': 3299, 'review_score': 9, 'sales_id': 7639230}
{'store_id': 3484, 'e_id': 8, 'review_score': 4, 'sales_id': 5488406}
{'store_id': 2366, 'e_id': 4208, 'review_score': 2, 'sales_id': 6133584}
{'store_id': 2366, 'e_id': 3299, 'review_score': 2, 'sales_id': 3302367}
{'store_id': 2366, 'e_id': 2668, 'review_score': 8, 'sales_id': 419052}
{'store_id': 2366, 'e_id': 4208, 'review_score': 7, 'sales_id': 472532}
{'store_id': 3484, 'e_id': 7786, 'review_score': 0, 'sales_id': 1470719}
{'store_id': 3484, 'e_id': 5199, 'review_score': 7, 'sales_id': 8812140}
{'store_id': 2366, 'e_id': 4208, 'review_score': 8, 'sales_id': 9630438}
