(1308, 6379, 10, 2088441)
(9952, 9774, 8, 9723568)
(9952, 3451, 2, 761748)
(1308, 4594, 10, 4197999)
(1308, 6379, 9, 3940795)
(9952, 9774, 10, 842840)
(1308, 6379, 2, 8347352)
(1308, 6379, 6, 9598481)
(9952, 6164, 2, 6865698)
(9952, 3451, 7, 1376757)
(9952, 9774, 6, 3129851)
(1308, 7963, 2, 4873656)
(9952, 9774, 10, 1675951)
(1308, 4594, 7, 4238200)
(9952, 6164, 6, 5494472)
(1308, 6379, 8, 713200)
(1308, 6379, 10, 729109)
(9952, 6164, 1, 4966625)
(1308, 4594, 9, 1970675)
(1308, 7963, 5, 2883548)
(1308, 4594, 9, 5033184)
(9952, 6164, 7, 4059346)
(9952, 9774, 6, 3095144)
(9952, 3451, 9, 6039159)
(1308, 6379, 6, 3496094)
(9952, 9774, 1, 69092)
(1308, 6379, 5, 3297998)
(9952, 6164, 5, 5397403)
(1308, 6379, 5, 1680588)
(1308, 6379, 8, 1969251)
(1308, 6379, 7, 1259176)
(1308, 6379, 5, 6139377)
(9952, 9774, 4, 806569)
(1308, 4594, 2, 1800556)
(1308, 7963, 2, 9211514)
(9952, 6164, 4, 3034002)
(1308, 7963, 2, 6541674)
(1308, 4594, 8, 8912951)
(9952, 6164, 6, 6887392)
(9952, 9774, 9, 575123)
(1308, 4594, 2, 3226999)
(1308, 6379, 3, 5398688)
(9952, 3451, 1, 1092390)
(1308, 7963, 6, 5531249)
(9952, 6164, 8, 5946552)
(9952, 6164, 10, 6497137)
(1308, 7963, 1, 8940478)
(1308, 4594, 9, 6417858)
(1308, 4594, 5, 6660244)
(1308, 4594, 2, 8625627)
(1308, 4594, 3, 494640)
(9952, 3451, 3, 1479853)
(9952, 9774, 6, 1280797)
(9952, 3451, 3, 3543162)
(1308, 4594, 10, 5878427)
(9952, 9774, 1, 6398268)
(1308, 7963, 6, 2989405)
(9952, 6164, 1, 6083124)
(1308, 7963, 7, 1955524)
(9952, 6164, 6, 4916195)
(1308, 7963, 2, 9384760)
(1308, 6379, 5, 5356703)
(9952, 6164, 5, 5935940)
(1308, 7963, 9, 1568270)
(9952, 6164, 9, 8804978)
(9952, 3451, 5, 9799140)
(1308, 4594, 8, 5733)
(1308, 4594, 7, 3227371)
(1308, 6379, 10, 9863810)
(1308, 4594, 2, 6913991)
(1308, 6379, 3, 3743582)
(1308, 6379, 1, 2989501)
(1308, 4594, 3, 9852483)
(1308, 4594, 5, 6670658)
(1308, 7963, 3, 2687318)
(9952, 6164, 6, 5564514)
(1308, 7963, 5, 2727341)
(9952, 3451, 1, 8921262)
(9952, 3451, 1, 9139587)
(9952, 9774, 7, 9660470)
(1308, 7963, 9, 5591169)
(1308, 6379, 5, 8219955)
(9952, 3451, 4, 3561212)
(9952, 6164, 9, 4572828)
(9952, 6164, 1, 2086325)
(9952, 3451, 7, 258330)
(9952, 9774, 3, 6828923)
(1308, 4594, 10, 3853390)
(1308, 4594, 10, 3487564)
(9952, 9774, 10, 4437891)
(1308, 7963, 8, 7205265)
(9952, 9774, 6, 9590562)
(9952, 3451, 2, 2580844)
(9952, 3451, 10, 2396633)
(1308, 6379, 6, 3217948)
(9952, 3451, 7, 8338290)
(9952, 3451, 7, 6573817)
(9952, 9774, 7, 3513807)
(9952, 3451, 9, 3265175)
(9952, 9774, 3, 252301)
(9952, 3451, 1, 4412122)
(1308, 4594, 4, 4855660)
(1308, 6379, 10, 9509)
(9952, 6164, 6, 1048415)
(9952, 9774, 3, 6327321)
(1308, 6379, 1, 344202)
(1308, 6379, 4, 5213332)
(1308, 4594, 8, 8222100)
(1308, 4594, 9, 9979803)
(9952, 3451, 6, 2303592)
(1308, 4594, 5, 4753042)
(1308, 6379, 4, 185737)
(1308, 7963, 9, 4167408)
(9952, 3451, 8, 6747618)
(9952, 6164, 1, 3865349)
(9952, 9774, 3, 9159695)
(9952, 9774, 3, 9618971)
(1308, 7963, 2, 2546669)
(1308, 4594, 4, 9172794)
(1308, 4594, 4, 5244987)
(1308, 4594, 9, 6818866)
(9952, 6164, 9, 8986185)
(1308, 6379, 9, 726602)
(9952, 9774, 1, 6403139)
(1308, 7963, 10, 220383)
(1308, 7963, 3, 5562090)
(1308, 7963, 1, 6845158)
(9952, 9774, 2, 57414)
(1308, 6379, 5, 2123551)
(1308, 7963, 5, 8146562)
(9952, 6164, 10, 744589)
(1308, 6379, 6, 9063072)
(9952, 6164, 2, 1997341)
(9952, 6164, 4, 4695358)
(1308, 7963, 3, 1847117)
(9952, 3451, 1, 4721055)
(9952, 9774, 2, 1193076)
(1308, 6379, 3, 314187)
(9952, 9774, 8, 1019598)
(1308, 6379, 2, 9073505)
