(8013181, 4594, 1308, 6929, 6197, 'Westmister')
(2088441, 6379, 1308, 615, 3067, 'Richmond')
(9915741, 4594, 1308, 2246, 5880, 'Westmister')
(8036708, 9774, 9952, 6363, 3880, 'Barnet')
(7388533, 3451, 9952, 2171, 5789, 'Ealing')
(8779138, 6164, 9952, 9003, 6774, 'Richmond')
(3443281, 4594, 1308, 3350, 7495, 'Merton')
(7215229, 6379, 1308, 3397, 1135, 'Hounslow')
(8258118, 4594, 1308, 5452, 7471, 'Westmister')
(9028025, 7963, 1308, 3983, 245, 'Hounslow')
(9840369, 6379, 1308, 5651, 5532, 'Merton')
(7958878, 9774, 9952, 1788, 6362, 'Hounslow')
(3043502, 3451, 9952, 9090, 422, 'Barnet')
(9723568, 9774, 9952, 794, 4323, 'Merton')
(415749, 6164, 9952, 6306, 6944, 'Barnet')
(6174713, 6379, 1308, 6122, 3171, 'Ealing')
(4752608, 7963, 1308, 2390, 6923, 'Westmister')
(4553455, 6379, 1308, 617, 5264, 'Richmond')
(4573625, 6379, 1308, 318, 145, 'Westmister')
(6846271, 4594, 1308, 778, 5216, 'Hounslow')
(6797723, 6379, 1308, 7894, 5347, 'Hounslow')
(7125328, 7963, 1308, 539, 4327, 'Ealing')
(5731008, 6164, 9952, 6748, 1080, 'Barnet')
(761748, 3451, 9952, 1879, 1495, 'Richmond')
(4349991, 3451, 9952, 6169, 459, 'Barnet')
(117087, 4594, 1308, 2076, 6791, 'Merton')
(4197999, 4594, 1308, 4402, 4890, 'Merton')
(6806223, 6379, 1308, 9464, 8569, 'Hounslow')
(9522181, 3451, 9952, 9507, 1195, 'Westmister')
(947057, 7963, 1308, 1195, 2116, 'Westmister')
(3940795, 6379, 1308, 2404, 62, 'Hounslow')
(842840, 9774, 9952, 2922, 8375, 'Barnet')
(1601198, 6379, 1308, 1823, 5025, 'Hounslow')
(7629614, 6164, 9952, 9705, 2741, 'Richmond')
(8347352, 6379, 1308, 2165, 582, 'Ealing')
(8566868, 9774, 9952, 1176, 9802, 'Richmond')
(4025015, 3451, 9952, 6682, 7405, 'Richmond')
(5170746, 6379, 1308, 2104, 8092, 'Barnet')
(7548569, 9774, 9952, 8800, 6708, 'Ealing')
(9598481, 6379, 1308, 8808, 9727, 'Hounslow')
(5464637, 3451, 9952, 2911, 3735, 'Ealing')
