(2, 203, 6, 2318077);
(1, 103, 9, 3396519);
(1, 102, 3, 8877286);
(2, 203, 10, 2178669);
(1, 103, 7, 5462995);
(1, 102, 4, 670274);
(1, 101, 10, 4302362);
(1, 103, 8, 5547116);
(1, 103, 6, 455202);
(1, 102, 7, 8784714);
(1, 102, 2, 2005303);
(2, 201, 1, 5067427);
(2, 201, 5, 7002182);
(2, 203, 9, 4824248);
(1, 101, 2, 1036955);
(1, 103, 8, 8815393);
(2, 203, 5, 7112616);
(1, 101, 7, 479231);
(2, 203, 10, 7668562);
(2, 202, 1, 1688538);
(2, 201, 7, 6110048);
(1, 101, 3, 8108308);
(2, 202, 9, 1245753);
(1, 103, 10, 3362086);
(1, 101, 2, 3277269);
(2, 201, 6, 5451552);
(1, 101, 5, 4096806);
(2, 203, 2, 512811);
(2, 202, 2, 3648880);
(2, 201, 10, 9200827);
(2, 201, 6, 4028207);
(1, 101, 2, 1505404);
(2, 203, 10, 1145078);
(2, 203, 10, 7641587);
(2, 201, 8, 6517903);
(2, 201, 6, 2373676);
(1, 101, 4, 343125);
(1, 103, 8, 9537755);
(2, 201, 1, 6665077);
(2, 202, 10, 9254188);
(2, 203, 7, 8542852);
(2, 203, 8, 7391315);
(1, 102, 4, 4020569);
(1, 102, 3, 9048690);
(1, 103, 9, 8187104);
(2, 203, 9, 8752520);
(1, 101, 6, 87188);
(2, 201, 8, 8283386);
(1, 102, 7, 4296790);
(2, 202, 10, 6641549);
(2, 201, 10, 9505039);
(1, 101, 10, 1084173);
(2, 202, 4, 1429668);
(1, 101, 3, 1898427);
(2, 203, 2, 1035867);
(1, 103, 6, 6178058);
(1, 103, 10, 6479025);
(2, 202, 1, 9700586);
(1, 102, 9, 2398504);
(2, 203, 6, 4029311);
(1, 103, 4, 8689294);
(2, 202, 4, 6347393);
(2, 202, 1, 1544952);
(2, 202, 5, 1777598);
(1, 101, 4, 4020135);
(2, 203, 1, 3044742);
(1, 103, 7, 8521142);
(1, 101, 9, 2709086);
(2, 203, 2, 4480168);
(2, 203, 4, 3325299);
(2, 203, 10, 1345147);
(1, 101, 6, 8869153);
(2, 202, 8, 471475);
(2, 203, 3, 7363361);
(2, 203, 1, 8636825);
(1, 101, 7, 2607337);
(1, 101, 7, 8909351);
(2, 201, 3, 3042306);
(2, 202, 7, 758800);
(2, 201, 5, 1891577);
(2, 201, 5, 306664);
(2, 203, 10, 4315453);
(2, 201, 7, 2735348);
(1, 102, 10, 4765200);
(2, 201, 1, 8324136);
(1, 102, 10, 7092670);
(2, 203, 6, 3816530);
(1, 103, 3, 2657772);
(1, 103, 4, 3320879);
(1, 103, 1, 2954159);
(1, 102, 5, 7626413);
(2, 203, 10, 919849);
(1, 103, 1, 8441669);
(1, 101, 10, 8488);
(1, 101, 1, 5719844);
(2, 203, 10, 1733157);
(2, 202, 1, 576404);
(1, 101, 9, 1441235);
(2, 201, 7, 6538861);
(2, 201, 6, 6425902);
(1, 103, 3, 7952603);
(1, 103, 6, 5291249);
(2, 202, 7, 6429561);
(1, 102, 10, 6933930);
(2, 203, 5, 7961366);
(2, 201, 10, 6816204);
(2, 203, 10, 2544113);
(1, 102, 8, 7902032);
(1, 103, 3, 2115100);
(2, 202, 6, 138845);
(1, 102, 5, 3209029);
(2, 203, 5, 3718098);
(2, 202, 8, 6355380);
(2, 201, 9, 4437474);
(1, 103, 4, 6368992);
(2, 202, 6, 787239);
(2, 202, 8, 7032753);
(2, 203, 7, 8238694);
(1, 101, 6, 3011063);
(2, 201, 3, 2025864);
(2, 202, 1, 2088728);
(2, 203, 1, 9375946);
(1, 103, 6, 2388313);
(1, 101, 1, 1392838);
(2, 201, 7, 7091235);
(2, 202, 1, 7431222);
(2, 201, 10, 3316521);
(2, 201, 5, 6875221);
(1, 101, 1, 1453388);
(1, 103, 4, 1461159);
(1, 101, 8, 7364177);
(1, 103, 8, 3827843);
(2, 203, 5, 1874401);
(2, 201, 10, 5044619);
